Number,"Time (seconds)","Distance (meters)","Pace (seconds)",Watts,Cal/Hr,"Stroke Rate","Heart Rate"
1906,3008.3,9091.6,162.8,81,579,36,
1907,3010.0,9097.0,164.6,78,570,36,
1908,3011.8,9102.3,166.1,76,562,36,
1909,3013.3,9106.8,166.1,76,562,36,
1910,3015.1,9112.1,165.3,77,566,36,
1911,3016.8,9117.4,163.5,80,575,36,
1912,3018.3,9122.0,163.5,80,575,36,
1913,3020.1,9127.5,162.8,81,579,36,
1914,3021.8,9132.9,162.3,82,581,36,
1915,3023.3,9137.5,162.3,82,581,36,
1916,3025.0,9142.9,162.6,81,580,36,
1917,3026.8,9148.3,161.8,83,584,36,
1918,3028.3,9153.0,161.0,84,588,38,
1919,3029.8,9157.7,161.0,84,588,38,
1920,3031.6,9163.3,158.1,89,604,36,
1921,3033.3,9168.8,159.4,86,597,36,
1922,3034.8,9173.4,159.4,86,597,36,
1923,3036.6,9178.9,160.7,84,590,37,
1924,3038.1,9183.6,160.7,84,590,37,
1925,3039.8,9189.0,161.0,84,588,37,
1926,3041.3,9193.7,161.0,84,588,37,
1927,3043.0,9199.1,161.4,83,586,37,
1928,3044.5,9203.8,161.4,83,586,37,
1929,3046.3,9209.2,161.9,82,583,37,
1930,3047.8,9213.9,161.9,82,583,37,
1931,3049.6,9219.3,163.5,80,575,38,
1932,3051.0,9223.9,163.5,80,575,38,
1933,3052.8,9229.4,159.8,86,595,37,
1934,3054.3,9234.1,159.8,86,595,37,
1935,3056.0,9239.6,160.6,84,590,37,
1936,3057.5,9244.3,159.5,86,596,37,
1937,3059.3,9249.8,160.9,84,589,37,
1938,3060.8,9254.5,159.5,86,596,38,
1939,3062.3,9259.2,159.5,86,596,38,
1940,3064.1,9264.8,159.5,86,596,37,
1941,3065.8,9270.3,159.0,87,599,36,
1942,3067.3,9275.0,158.4,88,603,37,
1943,3069.1,9280.6,158.4,88,603,36,
1944,3070.6,9285.3,158.4,88,603,36,
1945,3072.3,9290.8,158.3,88,603,37,
1946,3073.8,9295.5,158.3,88,603,37,
1947,3075.6,9301.1,159.0,87,599,38,
1948,3077.1,9305.8,159.9,86,594,37,
1949,3078.8,9311.3,158.8,87,600,37,
1950,3080.3,9316.0,159.8,86,595,38,
1951,3082.0,9321.5,160.3,85,592,36,
1952,3083.5,9326.2,160.3,85,592,36,
1953,3085.3,9331.7,160.2,85,592,38,
1954,3086.8,9336.4,160.8,84,589,37,
1955,3088.6,9341.8,161.3,83,587,36,
1956,3090.1,9346.4,161.3,83,587,36,
1957,3091.8,9351.8,162.5,82,580,37,
1958,3093.3,9356.4,162.5,82,580,37,
1959,3095.0,9361.9,159.6,86,596,36,
1960,3096.8,9367.4,159.4,86,597,36,
1961,3098.3,9372.2,158.5,88,602,38,
1962,3099.8,9376.9,158.5,88,602,38,
1963,3101.6,9382.4,160.1,85,593,36,
1964,3103.3,9387.9,159.9,86,594,36,
1965,3104.8,9392.6,159.9,86,594,36,
1966,3106.6,9398.1,159.9,86,594,36,
1967,3108.3,9403.6,160.1,85,593,36,
1968,3109.8,9408.2,160.1,85,593,36,
1969,3111.5,9413.7,161.3,83,587,36,
1970,3113.3,9419.1,162.2,82,582,37,
1971,3114.8,9423.7,162.9,81,578,37,
1972,3116.3,9428.3,162.9,81,578,37,
1973,3118.0,9433.8,160.3,85,592,38,
1974,3119.6,9438.4,162.2,82,582,37,
1975,3121.3,9443.9,162.0,82,583,38,
1976,3122.8,9448.4,163.7,80,574,37,
1977,3124.5,9453.7,165.4,77,566,37,
1978,3126.0,9458.4,162.8,81,579,37,
1979,3127.8,9463.8,160.2,85,592,36,
1980,3129.3,9468.5,160.9,84,589,37,
1981,3131.1,9473.9,162.6,81,580,37,
1982,3132.5,9478.5,162.6,81,580,37,
1983,3134.3,9483.8,163.4,80,576,37,
1984,3135.8,9488.5,162.4,82,581,38,
1985,3137.6,9493.9,163.0,81,578,37,
1986,3139.0,9498.5,161.9,82,583,36,
1987,3140.8,9503.9,162.6,81,580,37,
1988,3142.3,9508.5,162.6,81,580,37,
1989,3144.1,9513.9,163.3,80,576,37,
1990,3145.5,9518.6,161.1,84,588,37,
1991,3147.3,9524.1,160.0,85,594,37,
1992,3148.8,9528.7,160.9,84,589,37,
1993,3150.5,9534.2,161.2,84,587,36,
1994,3152.0,9538.8,161.2,84,587,36,
1995,3153.8,9544.2,163.0,81,578,37,
1996,3155.3,9548.7,163.0,81,578,37,
1997,3157.0,9554.1,162.9,81,578,37,
1998,3158.5,9558.8,162.9,81,578,37,
1999,3160.3,9564.2,163.1,81,577,37,
2000,3161.8,9568.8,163.1,81,577,37,
2001,3163.5,9574.2,163.9,79,573,37,
2002,3165.0,9578.7,163.9,79,573,37,
2003,3166.8,9584.0,164.2,79,572,37,
2004,3168.3,9588.6,163.7,80,574,38,
2005,3170.1,9594.1,161.8,83,584,37,
2006,3171.5,9598.8,158.9,87,600,36,
2007,3173.3,9604.3,159.1,87,599,37,
2008,3174.8,9609.0,160.3,85,592,37,
2009,3176.5,9614.4,161.5,83,585,36,
2010,3178.0,9619.1,161.3,83,587,38,
2011,3179.8,9624.5,161.5,83,585,37,
2012,3181.3,9629.2,160.7,84,590,37,
2013,3182.8,9633.9,160.7,84,590,37,
2014,3184.5,9639.3,161.2,84,587,37,
2015,3186.0,9644.0,161.2,84,587,37,
2016,3187.5,9648.7,161.8,83,584,42,
2017,3189.0,9653.1,161.8,83,584,42,
2018,3190.5,9657.7,166.6,76,560,39,
2019,3192.3,9663.1,164.3,79,571,38,
2020,3193.8,9667.6,164.2,79,572,37,
2021,3195.5,9673.0,164.7,78,569,37,
2022,3197.0,9677.6,163.0,81,578,37,
2023,3198.8,9682.9,164.6,78,570,37,
2024,3200.3,9687.4,164.6,78,570,37,
2025,3202.0,9692.9,163.3,80,576,38,
2026,3203.5,9697.4,163.3,80,576,38,
2027,3205.3,9702.8,162.8,81,579,36,
2028,3206.8,9707.4,162.8,81,579,36,
2029,3208.5,9712.7,165.0,78,568,36,
2030,3210.3,9718.0,166.6,76,560,36,
2031,3211.8,9722.5,166.6,76,560,36,
2032,3213.5,9727.8,164.0,79,573,37,
2033,3215.0,9732.5,164.0,79,573,37,
2034,3216.8,9737.8,163.6,80,575,36,
2035,3218.3,9742.4,163.6,80,575,36,
2036,3219.5,9746.1,163.0,81,578,38,
2037,3221.3,9751.2,168.6,73,551,46,
2038,3223.0,9756.5,164.5,79,570,38,
2039,3224.5,9761.2,161.6,83,585,39,
2040,3226.0,9765.9,161.6,83,585,39,
2041,3227.8,9771.5,157.2,90,610,37,
2042,3229.3,9776.2,157.2,90,610,37,
2043,3231.0,9781.8,157.4,90,608,36,
2044,3232.8,9787.3,158.1,89,604,37,
2045,3234.3,9792.0,160.3,85,592,37,
2046,3236.0,9797.4,161.6,83,585,36,
2047,3237.5,9802.1,161.7,83,584,37,
2048,3239.3,9807.5,161.8,83,584,37,
2049,3240.8,9812.1,161.8,83,584,37,
2050,3242.5,9817.5,163.5,80,575,35,
2051,3244.3,9822.9,161.9,82,583,37,
2052,3245.8,9827.5,161.9,82,583,37,
2053,3247.5,9833.0,161.2,84,587,36,
2054,3249.3,9838.4,161.5,83,585,35,
2055,3251.0,9843.9,160.6,84,590,36,
2056,3252.5,9848.6,159.9,86,594,37,
2057,3254.3,9854.1,159.4,86,597,36,
2058,3255.8,9858.8,161.3,83,587,38,
2059,3257.5,9864.2,162.9,81,578,37,
2060,3259.0,9868.9,159.1,87,599,38,
2061,3260.8,9874.4,161.0,84,588,36,
2062,3262.3,9879.0,161.0,84,588,36,
2063,3264.0,9884.5,160.7,84,590,37,
2064,3265.5,9889.1,162.3,82,581,38,
2065,3267.3,9894.5,163.1,81,577,37,
2066,3268.8,9899.1,164.5,79,570,37,
2067,3270.5,9904.4,165.0,78,568,36,
2068,3272.0,9909.0,162.4,82,581,37,
2069,3273.8,9914.5,159.2,87,598,37,
2070,3275.3,9919.2,161.5,83,585,37,
2071,3277.0,9924.6,162.0,82,583,36,
2072,3278.5,9929.3,161.2,84,587,37,
2073,3280.3,9934.7,160.6,84,590,37,
2074,3281.8,9939.4,160.6,84,590,37,
2075,3283.5,9945.0,159.2,87,598,37,
2076,3285.0,9949.7,159.2,87,598,37,
2077,3286.8,9955.1,160.5,85,591,37,
2078,3288.3,9959.8,160.5,85,591,37,
2079,3290.0,9965.4,158.6,88,601,37,
2080,3291.5,9970.1,159.7,86,595,38,
2081,3293.3,9975.5,161.6,83,585,37,
2082,3294.8,9980.1,162.9,81,578,37,
2083,3296.5,9985.5,163.8,80,574,37,
2084,3298.0,9990.0,163.8,80,574,37,
2085,3299.8,9995.5,163.2,81,577,38,
2086,3301.3,10000.1,160.3,85,592,37,
2087,3302.8,10004.8,160.3,85,592,37,
2088,3304.5,10010.4,159.1,87,599,36,
2089,3306.3,10015.9,158.9,87,600,37,
2090,3307.8,10020.5,160.9,84,589,37,
2091,3309.5,10026.0,161.5,83,585,37,
2092,3311.0,10030.7,159.9,86,594,37,
2093,3312.5,10035.4,159.9,86,594,37,
2094,3314.3,10040.9,160.7,84,590,37,
2095,3315.8,10045.6,160.7,84,590,37,
2096,3317.5,10051.2,157.2,90,610,37,
2097,3319.0,10055.9,157.2,90,610,37,
2098,3320.8,10061.5,158.4,88,603,37,
2099,3322.3,10066.2,158.4,88,603,37,
2100,3324.0,10071.6,161.5,83,585,36,
2101,3325.5,10076.3,161.5,83,585,36,
2102,3327.3,10081.8,159.1,87,599,38,
2103,3328.8,10086.6,159.0,87,599,38,
2104,3330.3,10091.3,159.0,87,599,38,
2105,3332.0,10096.8,161.4,83,586,36,
2106,3333.5,10101.4,161.4,83,586,36,
2107,3335.3,10106.8,162.2,82,582,36,
2108,3337.0,10112.3,160.8,84,589,36,
2109,3338.5,10117.0,159.9,86,594,37,
2110,3340.3,10122.4,161.2,84,587,37,
2111,3341.8,10127.1,162.3,82,581,38,
2112,3343.3,10131.7,162.3,82,581,38,
2113,3345.0,10137.1,161.2,84,587,36,
2114,3346.8,10142.6,160.6,84,590,37,
2115,3348.3,10147.3,161.1,84,588,37,
2116,3350.0,10152.8,159.7,86,595,37,
2117,3351.5,10157.5,158.9,87,600,37,
2118,3353.0,10162.2,158.9,87,600,37,
2119,3354.8,10167.8,158.0,89,605,37,
2120,3356.3,10172.5,158.0,89,605,37,
2121,3358.0,10178.2,156.3,92,615,37,
2122,3359.5,10183.0,156.3,92,615,37,
2123,3361.0,10187.9,154.1,96,629,37,
2124,3362.8,10193.5,155.9,92,617,39,
2125,3364.3,10198.4,154.7,95,625,39,
2126,3365.8,10203.2,156.7,91,613,39,
2127,3367.3,10207.9,156.7,91,613,39,
2128,3369.0,10213.5,157.8,89,606,37,
2129,3370.5,10218.2,159.7,86,595,38,
2130,3372.3,10223.6,161.1,84,588,36,
2131,3373.8,10228.2,162.5,82,580,37,
2132,3375.3,10232.8,162.5,82,580,37,
2133,3377.0,10238.3,162.5,82,580,38,
2134,3378.5,10242.9,162.5,82,580,38,
2135,3380.3,10248.2,163.9,79,573,37,
2136,3381.8,10252.8,163.9,79,573,37,
2137,3383.5,10258.2,164.3,79,571,37,
2138,3385.0,10262.8,163.7,80,574,37,
2139,3386.8,10268.2,162.7,81,579,37,
2140,3388.3,10272.9,159.7,86,595,37,
2141,3390.0,10278.4,160.3,85,592,36,
2142,3391.5,10283.0,160.3,85,592,36,
2143,3393.3,10288.5,160.6,84,590,37,
2144,3394.8,10293.2,160.4,85,591,37,
2145,3396.5,10298.6,161.2,84,587,36,
2146,3398.0,10303.3,161.2,84,587,36,
2147,3399.8,10308.9,158.2,88,604,38,
2148,3401.3,10313.6,156.9,91,611,37,
2149,3403.0,10319.2,158.4,88,603,36,
2150,3404.5,10323.9,159.5,86,596,38,
2151,3406.3,10329.4,161.2,84,587,37,
2152,3407.8,10334.1,160.4,85,591,37,
2153,3409.5,10339.5,161.5,83,585,38,
2154,3411.0,10344.1,161.5,83,585,38,
2155,3412.8,10349.5,162.9,81,578,37,
2156,3414.3,10354.1,162.9,81,578,37,
2157,3416.0,10359.5,162.9,81,578,36,
2158,3417.5,10364.0,162.9,81,578,36,
2159,3419.3,10369.4,162.9,81,578,36,
2160,3421.0,10374.9,162.0,82,583,37,
2161,3422.5,10379.6,162.0,82,583,37,
2162,3424.3,10385.0,159.9,86,594,36,
2163,3426.0,10390.4,161.2,84,587,34,
2164,3427.8,10395.8,164.5,79,570,36,
2165,3429.5,10401.1,164.6,78,570,35,
2166,3431.0,10405.7,164.6,78,570,35,
2167,3432.8,10411.1,162.2,82,582,37,
2168,3434.5,10416.5,163.6,80,575,35,
2169,3436.0,10421.1,163.6,80,575,35,
2170,3437.8,10426.5,163.5,80,575,36,
2171,3439.5,10431.9,161.5,83,585,35,
2172,3441.0,10436.5,161.5,83,585,35,
2173,3442.8,10442.0,161.8,83,584,36,
2174,3444.3,10446.6,161.8,83,584,36,
2175,3446.0,10452.2,159.2,87,598,36,
2176,3447.8,10457.7,159.6,86,596,37,
2177,3449.3,10462.4,159.0,87,599,37,
2178,3451.0,10467.9,159.5,86,596,36,
2179,3452.5,10472.6,159.5,86,596,36,
2180,3454.3,10478.0,163.5,80,575,36,
2181,3455.8,10482.6,163.5,80,575,36,
2182,3457.5,10487.9,166.1,76,562,38,
2183,3459.0,10492.5,163.3,80,576,37,
2184,3460.5,10497.1,163.3,80,576,37,
2185,3462.3,10502.3,169.6,72,546,37,
2186,3463.5,10506.1,169.6,72,546,37,
2187,3465.3,10511.3,169.2,72,548,38,
2188,3466.8,10515.9,169.2,72,548,38,
2189,3468.5,10521.4,162.1,82,582,37,
2190,3470.0,10525.9,162.1,82,582,37,
2191,3471.8,10531.4,162.0,82,583,37,
2192,3473.3,10536.0,162.0,82,583,37,
2193,3475.0,10541.5,160.9,84,589,37,
2194,3476.5,10546.2,160.9,84,589,37,
2195,3478.3,10551.8,157.3,90,609,37,
2196,3479.8,10556.4,157.3,90,609,37,
2197,3481.5,10561.9,162.4,82,581,36,
2198,3483.0,10566.5,162.4,82,581,36,
2199,3484.8,10572.0,160.2,85,592,37,
2200,3486.5,10577.5,160.2,85,592,37,
2201,3488.0,10582.2,160.8,84,589,37,
2202,3489.5,10586.8,160.8,84,589,37,
2203,3491.3,10592.3,160.1,85,593,37,
2204,3492.8,10596.9,160.1,85,593,37,
2205,3494.5,10602.4,162.0,82,583,36,
2206,3496.3,10607.8,162.6,81,580,36,
2207,3497.8,10612.3,162.6,81,580,36,
2208,3499.5,10617.7,163.2,81,577,37,
2209,3501.0,10622.3,163.2,81,577,37,
2210,3502.8,10627.7,163.0,81,578,37,
2211,3504.3,10632.3,163.0,81,578,37,
2212,3506.0,10637.6,166.2,76,562,37,
2213,3507.5,10642.1,166.2,76,562,37,
2214,3509.3,10647.1,173.9,67,529,36,
2215,3510.8,10651.6,173.9,67,529,36,
2216,3512.5,10656.9,166.2,76,562,37,
2217,3514.0,10661.4,166.2,76,562,37,
2218,3515.8,10666.8,164.9,78,568,37,
2219,3517.3,10671.3,164.9,78,568,37,
2220,3519.0,10676.7,165.1,78,567,37,
2221,3520.5,10681.2,165.1,78,567,37,
2222,3522.3,10686.5,164.3,79,571,37,
2223,3523.8,10691.2,164.3,79,571,37,
2224,3525.5,10696.6,162.1,82,582,36,
2225,3527.0,10701.2,162.1,82,582,36,
2226,3528.8,10706.5,165.9,77,563,36,
2227,3530.5,10711.8,165.2,78,567,36,
2228,3532.0,10716.4,163.5,80,575,37,
2229,3533.5,10721.1,160.2,85,592,41,
2230,3535.0,10725.9,160.2,85,592,41,
2231,3536.5,10730.9,154.0,96,629,39,
2232,3538.3,10736.7,153.1,98,635,38,
2233,3539.8,10741.5,153.1,98,635,38,
2234,3541.5,10747.1,157.4,90,608,37,
2235,3543.0,10751.8,157.4,90,608,37,
2236,3544.8,10757.3,159.3,87,597,38,
2237,3546.3,10762.0,159.3,87,597,38,
2238,3548.0,10767.5,159.1,87,599,36,
2239,3549.5,10772.2,159.1,87,599,36,
2240,3551.3,10777.8,160.0,85,594,38,
2241,3552.8,10782.4,161.2,84,587,38,
2242,3554.5,10787.9,160.9,84,589,37,
2243,3556.0,10792.5,160.6,84,590,37,
2244,3557.8,10797.9,164.4,79,571,36,
2245,3559.3,10802.5,164.4,79,571,36,
2246,3561.0,10808.0,161.3,83,587,37,
2247,3562.5,10812.6,161.3,83,587,37,
2248,3564.3,10818.1,161.7,83,584,37,
2249,3565.8,10822.7,161.7,83,584,37,
2250,3567.5,10828.2,159.5,86,596,37,
2251,3569.0,10832.9,159.5,86,596,37,
2252,3570.8,10838.4,160.2,85,592,36,
2253,3572.5,10843.9,160.5,85,591,36,
2254,3574.0,10848.6,161.0,84,588,37,
2255,3575.8,10854.0,161.5,83,585,37,
2256,3577.3,10858.6,161.5,83,585,37,
2257,3579.0,10864.0,164.7,78,569,36,
2258,3580.5,10868.5,164.7,78,569,36,
2259,3582.3,10873.9,165.2,78,567,36,
2260,3584.0,10879.3,162.5,82,580,36,
2261,3585.5,10883.9,162.5,82,580,36,
2262,3587.3,10889.4,161.0,84,588,36,
2263,3589.0,10894.8,163.2,81,577,36,
2264,3590.5,10899.4,164.1,79,572,37,
2265,3592.3,10904.8,163.0,81,578,38,
2266,3593.7,10909.3,163.0,81,578,38,
2267,3595.5,10914.8,161.9,82,583,37,
2268,3597.0,10919.5,161.9,82,583,37,
2269,3598.8,10924.9,161.3,83,587,36,
2270,3600.3,10929.6,161.3,83,587,36,
2271,3602.0,10935.0,161.8,83,584,37,
2272,3603.5,10939.6,161.8,83,584,37,
2273,3605.2,10945.2,159.5,86,596,39,
2274,3606.8,10950.0,156.5,91,614,40,
2275,3608.3,10954.8,155.2,94,622,37,
2276,3609.7,10959.6,155.2,94,622,37,
2277,3611.3,10964.4,154.7,95,625,39,
2278,3613.0,10969.9,161.3,83,587,38,
2279,3614.5,10974.5,161.3,83,587,38,
2280,3616.2,10979.9,162.8,81,579,36,
2281,3617.8,10984.6,163.2,81,577,38,
2282,3619.5,10990.0,163.5,80,575,38,
2283,3621.0,10994.6,162.5,82,580,37,
2284,3622.8,11000.0,161.9,82,583,36,
2285,3624.2,11004.7,161.9,82,583,36,
2286,3626.0,11010.2,160.3,85,592,36,
2287,3627.5,11014.8,160.3,85,592,36,
2288,3629.2,11020.3,159.7,86,595,37,
2289,3630.7,11025.1,159.7,86,595,37,
2290,3632.5,11030.7,158.6,88,601,37,
2291,3634.0,11035.4,158.6,88,601,37,
2292,3635.7,11040.8,160.6,84,590,38,
2293,3637.2,11045.5,161.6,83,585,38,
2294,3638.8,11050.2,161.6,83,585,38,
2295,3640.5,11055.6,161.1,84,588,38,
2296,3642.0,11060.3,161.1,84,588,38,
2297,3643.8,11065.7,163.0,81,578,37,
2298,3645.3,11070.3,163.5,80,575,38,
2299,3647.0,11075.7,163.5,80,575,36,
2300,3648.5,11080.2,163.5,80,575,36,
2301,3650.2,11085.5,164.9,78,568,36,
2302,3651.7,11090.1,164.9,78,568,36,
2303,3653.5,11095.5,162.9,81,578,37,
2304,3655.0,11100.0,162.9,81,578,37,
2305,3656.8,11105.2,167.3,75,557,37,
2306,3658.2,11109.7,167.3,75,557,37,
2307,3660.0,11115.0,167.9,74,554,37,
2308,3661.5,11119.4,167.9,74,554,37,
2309,3663.2,11124.7,165.4,77,566,37,
2310,3664.8,11129.2,165.4,77,566,37,
2311,3666.5,11134.5,166.4,76,561,37,
2312,3668.2,11139.7,168.8,73,550,36,
2313,3669.7,11144.1,168.8,73,550,36,
2314,3671.5,11149.3,168.3,73,552,36,
2315,3673.0,11153.8,168.3,73,552,36,
2316,3674.8,11159.1,167.1,75,558,36,
2317,3676.5,11164.4,167.4,75,556,37,
2318,3678.0,11168.8,167.4,75,556,37,
2319,3679.7,11174.2,164.6,78,570,37,
2320,3681.2,11178.7,164.6,78,570,37,
2321,3683.0,11184.0,165.0,78,568,36,
2322,3684.8,11189.5,162.0,82,583,36,
2323,3686.2,11194.1,162.0,82,583,36,
2324,3688.0,11199.4,163.0,81,578,36,
2325,3689.7,11204.8,163.2,81,577,36,
2326,3691.2,11209.4,163.2,81,577,36,
2327,3693.0,11214.9,162.7,81,579,36,
2328,3694.5,11219.4,162.7,81,579,36,
2329,3696.2,11224.8,164.1,79,572,38,
2330,3697.8,11229.4,164.1,79,572,38,
2331,3699.5,11234.8,161.4,83,586,37,
2332,3701.0,11239.5,161.9,82,583,38,
2333,3702.7,11244.8,163.3,80,576,37,
2334,3704.2,11249.4,164.2,79,572,38,
2335,3705.7,11254.0,164.2,79,572,38,
2336,3707.5,11259.5,161.6,83,585,37,
2337,3709.0,11264.1,161.6,83,585,37,
2338,3710.7,11269.6,160.3,85,592,38,
2339,3712.3,11274.3,161.7,83,584,38,
2340,3713.8,11278.9,163.3,80,576,38,
2341,3715.3,11283.4,163.3,80,576,38,
2342,3717.0,11288.8,164.5,79,570,38,
2343,3718.5,11293.3,166.2,76,562,38,
2344,3720.0,11297.9,166.2,76,562,38,
2345,3721.7,11303.3,160.6,84,590,38,
2346,3723.2,11308.0,161.8,83,584,38,
2347,3724.7,11312.5,161.8,83,584,38,
2348,3726.5,11318.0,163.7,80,574,38,
2349,3728.0,11322.5,162.9,81,578,38,
2350,3729.5,11327.1,162.9,81,578,38,
2351,3731.2,11332.5,163.5,80,575,38,
2352,3732.7,11337.1,164.2,79,572,38,
2353,3734.2,11341.7,164.2,79,572,38,
2354,3736.0,11347.2,160.8,84,589,37,
2355,3737.5,11351.9,159.7,86,595,38,
2356,3739.3,11357.4,160.5,85,591,37,
2357,3740.8,11362.1,159.2,87,598,38,
2358,3742.5,11367.6,159.4,86,597,36,
2359,3744.0,11372.3,160.4,85,591,37,
2360,3745.5,11377.0,160.4,85,591,37,
2361,3747.2,11382.5,158.4,88,603,37,
2362,3748.8,11387.3,158.4,88,603,37,
2363,3750.5,11392.8,158.5,88,602,37,
2364,3752.2,11398.3,159.8,86,595,37,
2365,3753.8,11403.0,159.5,86,596,38,
2366,3755.2,11407.7,159.5,86,596,38,
2367,3757.0,11413.2,160.8,84,589,37,
2368,3758.5,11417.8,160.8,84,589,37,
2369,3760.2,11423.2,162.9,81,578,37,
2370,3761.7,11427.7,162.9,81,578,37,
2371,3763.5,11433.2,163.0,81,578,37,
2372,3765.0,11437.8,163.0,81,578,38,
2373,3766.7,11443.1,163.6,80,575,36,
2374,3768.2,11447.8,161.9,82,583,38,
2375,3770.0,11453.3,160.9,84,589,37,
2376,3771.5,11457.8,160.9,84,589,37,
2377,3773.2,11463.2,163.7,80,574,36,
2378,3774.7,11467.8,163.7,80,574,36,
2379,3776.5,11473.2,162.7,81,579,36,
2380,3778.0,11477.8,162.7,81,579,36,
2381,3779.7,11483.3,160.9,84,589,37,
2382,3781.2,11488.0,160.9,84,589,37,
2383,3783.0,11493.5,160.7,84,590,37,
2384,3784.5,11498.2,160.7,84,590,37,
2385,3786.2,11503.6,161.3,83,587,37,
2386,3787.7,11508.3,161.3,83,587,37,
2387,3789.5,11513.7,162.4,82,581,36,
2388,3791.2,11519.1,163.9,79,573,36,
2389,3792.7,11523.6,165.2,78,567,37,
2390,3794.5,11528.9,165.1,78,567,38,
2391,3796.0,11533.7,160.4,85,591,37,
2392,3797.7,11539.1,160.3,85,592,37,
2393,3799.2,11543.8,160.4,85,591,37,
2394,3801.0,11549.3,160.8,84,589,36,
2395,3802.5,11553.9,160.8,84,589,36,
2396,3804.2,11559.4,161.4,83,586,37,
2397,3805.7,11564.0,161.4,83,586,37,
2398,3807.5,11569.5,162.3,82,581,37,
2399,3809.0,11574.1,162.3,82,581,37,
2400,3810.7,11579.5,162.4,82,581,36,
2401,3812.2,11584.1,162.4,82,581,36,
2402,3814.0,11589.6,161.3,83,587,37,
2403,3815.7,11595.0,161.6,83,585,35,
2404,3817.2,11599.5,161.6,83,585,35,
2405,3819.0,11605.0,161.5,83,585,36,
2406,3820.5,11609.7,161.5,83,585,36,
2407,3822.2,11615.3,158.8,87,600,37,
2408,3823.7,11619.9,158.8,87,600,37,
2409,3825.5,11625.3,161.4,83,586,37,
2410,3827.0,11630.0,161.4,83,586,37,
2411,3828.7,11635.6,159.2,87,598,37,
2412,3830.2,11640.4,159.2,87,598,37,
2413,3832.0,11645.9,158.2,88,604,37,
2414,3833.5,11650.7,158.5,88,602,38,
2415,3835.2,11656.2,157.8,89,606,37,
2416,3836.7,11661.0,159.2,87,598,38,
2417,3838.2,11665.6,159.2,87,598,38,
2418,3840.0,11671.1,161.3,83,587,38,
2419,3841.5,11675.7,162.0,82,583,37,
2420,3843.0,11680.3,162.0,82,583,37,
2421,3844.7,11685.9,160.1,85,593,38,
2422,3846.2,11690.5,160.8,84,589,38,
2423,3847.7,11695.1,160.8,84,589,38,
2424,3849.5,11700.7,160.1,85,593,38,
2425,3851.0,11705.2,162.4,82,581,38,
2426,3852.7,11710.7,162.8,81,579,37,
2427,3854.2,11715.3,161.8,83,584,37,
2428,3856.0,11720.7,163.1,81,577,37,
2429,3857.5,11725.3,162.9,81,578,38,
2430,3859.0,11729.8,162.9,81,578,38,
2431,3860.7,11735.2,164.3,79,571,36,
2432,3862.2,11739.8,164.3,79,571,36,
2433,3864.0,11745.2,162.4,82,581,36,
2434,3865.7,11750.6,162.2,82,582,36,
2435,3867.2,11755.1,162.2,82,582,36,
2436,3869.0,11760.5,163.7,80,574,37,
2437,3870.5,11765.1,163.7,80,574,37,
2438,3872.2,11770.5,163.7,80,574,37,
2439,3873.7,11775.1,163.7,80,574,37,
2440,3875.5,11780.4,164.3,79,571,36,
2441,3877.2,11785.8,164.3,79,571,36,
2442,3878.7,11790.3,164.3,79,571,36,
2443,3880.5,11795.6,165.5,77,565,36,
2444,3882.0,11800.2,165.5,77,565,36,
2445,3883.7,11805.6,162.2,82,582,37,
2446,3885.5,11811.1,163.3,80,576,36,
2447,3887.0,11815.7,163.3,80,576,36,
2448,3888.7,11821.2,158.2,88,604,36,
2449,3890.5,11826.8,157.7,89,607,36,
2450,3892.0,11831.6,157.7,89,607,36,
2451,3893.7,11837.1,156.6,91,613,37,
2452,3895.2,11841.9,156.6,91,613,37,
2453,3897.0,11847.5,157.5,90,608,37,
2454,3898.5,11852.2,157.5,90,608,37,
2455,3900.2,11857.8,158.2,88,604,38,
2456,3901.7,11862.5,158.2,88,604,38,
2457,3903.5,11868.1,158.0,89,605,37,
2458,3905.0,11872.8,158.8,87,600,38,
2459,3906.5,11877.6,158.8,87,600,38,
2460,3908.2,11883.1,158.8,87,600,37,
2461,3909.7,11887.8,159.0,87,599,38,
2462,3911.2,11892.5,159.0,87,599,38,
2463,3913.0,11898.1,158.8,87,600,37,
2464,3914.5,11902.8,158.9,87,600,39,
2465,3916.2,11908.4,158.8,87,600,37,
2466,3917.7,11913.0,161.2,84,587,38,
2467,3919.2,11917.7,161.2,84,587,38,
2468,3921.0,11923.1,161.8,83,584,38,
2469,3922.5,11927.8,161.1,84,588,40,
2470,3924.0,11932.2,168.5,73,551,38,
2471,3925.5,11936.9,168.5,73,551,38,
2472,3927.2,11942.2,163.4,80,576,37,
2473,3928.7,11946.7,163.4,80,576,37,
2474,3930.5,11952.0,166.1,76,562,36,
2475,3932.2,11957.5,160.2,85,592,36,
2476,3933.7,11962.2,160.2,85,592,36,
2477,3935.5,11967.7,159.6,86,596,36,
2478,3937.2,11973.2,158.8,87,600,36,
2479,3938.7,11978.0,158.7,88,601,37,
2480,3940.5,11983.5,159.4,86,597,36,
2481,3942.0,11988.2,159.4,86,597,36,
2482,3943.7,11993.8,159.4,86,597,36,
2483,3945.5,11999.3,158.3,88,603,37,
2484,3947.0,12004.0,158.3,88,603,37,
2485,3948.7,12009.6,157.4,90,608,38,
